Date,All Grades All Formulations,All Grades Reformulated,Regular All Formulations,Regular Reformulated,Midgrade All Formulations,Midgrade Reformulated,Premium All Formulations,Premium Reformulated,
"Aug 28, 2006",3.118,3.118,3.079,3.079,3.183,3.183,3.285,3.285,
"Sep 04, 2006",2.978,2.978,2.937,2.937,3.048,3.048,3.15,3.15,
"Sep 11, 2006",2.865,2.865,2.825,2.825,2.935,2.935,3.035,3.035,
"Sep 18, 2006",2.733,2.733,2.693,2.693,2.802,2.802,2.904,2.904,
"Sep 25, 2006",2.593,2.593,2.552,2.552,2.662,2.662,2.768,2.768,
"Oct 02, 2006",2.473,2.473,2.433,2.433,2.543,2.543,2.648,2.648,
"Oct 09, 2006",2.37,2.37,2.33,2.33,2.441,2.441,2.542,2.542,
"Oct 16, 2006",2.3,2.3,2.26,2.26,2.369,2.369,2.472,2.472,
"Oct 23, 2006",2.267,2.267,2.228,2.228,2.335,2.335,2.437,2.437,
"Oct 30, 2006",2.307,2.307,2.269,2.269,2.37,2.37,2.472,2.472,
"Nov 06, 2006",2.315,2.315,2.276,2.276,2.38,2.38,2.483,2.483,
"Nov 13, 2006",2.351,2.351,2.311,2.311,2.417,2.417,2.522,2.522,
"Nov 20, 2006",2.314,2.314,2.274,2.274,2.383,2.383,2.486,2.486,
"Nov 27, 2006",2.337,2.337,2.297,2.297,2.406,2.406,2.509,2.509,
"Dec 04, 2006",2.37,2.37,2.332,2.332,2.435,2.435,2.537,2.537,
"Dec 11, 2006",2.354,2.354,2.315,2.315,2.421,2.421,2.522,2.522,
"Dec 18, 2006",2.368,2.368,2.33,2.33,2.434,2.434,2.535,2.535,
"Dec 25, 2006",2.409,2.409,2.371,2.371,2.475,2.475,2.577,2.577,
"Jan 01, 2007",2.383,2.383,2.344,2.344,2.45,2.45,2.552,2.552,
"Jan 08, 2007",2.347,2.347,2.308,2.308,2.413,2.413,2.515,2.515,
"Jan 15, 2007",2.265,2.265,2.226,2.226,2.331,2.331,2.435,2.435,
"Jan 22, 2007",2.171,2.171,2.132,2.132,2.238,2.238,2.339,2.339,
"Jan 29, 2007",2.199,2.199,2.161,2.161,2.264,2.264,2.364,2.364,
"Feb 05, 2007",2.295,2.295,2.256,2.256,2.361,2.361,2.462,2.462,
"Feb 12, 2007",2.319,2.319,2.282,2.282,2.382,2.382,2.483,2.483,
"Feb 19, 2007",2.398,2.398,2.36,2.36,2.464,2.464,2.564,2.564,
"Feb 26, 2007",2.501,2.501,2.462,2.462,2.566,2.566,2.669,2.669,
"Mar 05, 2007",2.566,2.566,2.529,2.529,2.631,2.631,2.727,2.727,
"Mar 12, 2007",2.54,2.54,2.502,2.502,2.606,2.606,2.708,2.708,
"Mar 19, 2007",2.556,2.556,2.517,2.517,2.623,2.623,2.723,2.723,
"Mar 26, 2007",2.614,2.614,2.575,2.575,2.68,2.68,2.782,2.782,
"Apr 02, 2007",2.725,2.725,2.687,2.687,2.79,2.79,2.89,2.89,
"Apr 09, 2007",2.898,2.898,2.86,2.86,2.961,2.961,3.063,3.063,
"Apr 16, 2007",3.013,3.013,2.974,2.974,3.08,3.08,3.183,3.183,
"Apr 23, 2007",2.973,2.973,2.933,2.933,3.043,3.043,3.142,3.142,
"Apr 30, 2007",3.132,3.132,3.093,3.093,3.2,3.2,3.3,3.3,
"May 07, 2007",3.359,3.359,3.319,3.319,3.428,3.428,3.53,3.53,
"May 14, 2007",3.408,3.408,3.367,3.367,3.481,3.481,3.583,3.583,
"May 21, 2007",3.573,3.573,3.532,3.532,3.643,3.643,3.747,3.747,
"May 28, 2007",3.661,3.661,3.621,3.621,3.734,3.734,3.832,3.832,
"Jun 04, 2007",3.607,3.607,3.565,3.565,3.683,3.683,3.782,3.782,
"Jun 11, 2007",3.5,3.5,3.459,3.459,3.573,3.573,3.676,3.676,
"Jun 18, 2007",3.38,3.38,3.338,3.338,3.455,3.455,3.558,3.558,
"Jun 25, 2007",3.279,3.279,3.238,3.238,3.352,3.352,3.454,3.454,
"Jul 02, 2007",3.202,3.202,3.161,3.161,3.276,3.276,3.381,3.381,
"Jul 09, 2007",3.189,3.189,3.149,3.149,3.261,3.261,3.363,3.363,
"Jul 16, 2007",3.425,3.425,3.384,3.384,3.496,3.496,3.597,3.597,
"Jul 23, 2007",3.302,3.302,3.26,3.26,3.378,3.378,3.486,3.486,
"Jul 30, 2007",3.182,3.182,3.137,3.137,3.264,3.264,3.369,3.369,
"Aug 06, 2007",3.106,3.106,3.064,3.064,3.182,3.182,3.284,3.284,
"Aug 13, 2007",3.035,3.035,2.993,2.993,3.109,3.109,3.212,3.212,
"Aug 20, 2007",3.116,3.116,3.075,3.075,3.19,3.19,3.291,3.291,
"Aug 27, 2007",3.072,3.072,3.031,3.031,3.143,3.143,3.246,3.246,
"Sep 03, 2007",3.243,3.243,3.202,3.202,3.312,3.312,3.417,3.417,
"Sep 10, 2007",3.251,3.251,3.21,3.21,3.325,3.325,3.426,3.426,
"Sep 17, 2007",3.156,3.156,3.115,3.115,3.229,3.229,3.334,3.334,
"Sep 24, 2007",3.096,3.096,3.054,3.054,3.168,3.168,3.274,3.274,
"Oct 01, 2007",3.011,3.011,2.969,2.969,3.083,3.083,3.192,3.192,
"Oct 08, 2007",2.944,2.944,2.902,2.902,3.019,3.019,3.123,3.123,
"Oct 15, 2007",2.884,2.884,2.842,2.842,2.958,2.958,3.066,3.066,
"Oct 22, 2007",2.898,2.898,2.857,2.857,2.971,2.971,3.073,3.073,
"Oct 29, 2007",2.951,2.951,2.91,2.91,3.025,3.025,3.127,3.127,
"Nov 05, 2007",3.17,3.17,3.13,3.13,3.239,3.239,3.341,3.341,
"Nov 12, 2007",3.218,3.218,3.179,3.179,3.286,3.286,3.389,3.389,
"Nov 19, 2007",3.18,3.18,3.139,3.139,3.251,3.251,3.354,3.354,
"Nov 26, 2007",3.163,3.163,3.123,3.123,3.235,3.235,3.336,3.336,
"Dec 03, 2007",3.129,3.129,3.089,3.089,3.199,3.199,3.305,3.305,
"Dec 10, 2007",3.067,3.067,3.028,3.028,3.137,3.137,3.239,3.239,
"Dec 17, 2007",3.092,3.092,3.052,3.052,3.162,3.162,3.263,3.263,
"Dec 24, 2007",3.072,3.072,3.032,3.032,3.142,3.142,3.244,3.244,
"Dec 31, 2007",3.177,3.177,3.137,3.137,3.249,3.249,3.349,3.349,
"Jan 07, 2008",3.267,3.267,3.227,3.227,3.337,3.337,3.438,3.438,
"Jan 14, 2008",3.203,3.203,3.162,3.162,3.276,3.276,3.377,3.377,
"Jan 21, 2008",3.132,3.132,3.091,3.091,3.206,3.206,3.308,3.308,
"Jan 28, 2008",3.097,3.097,3.056,3.056,3.168,3.168,3.271,3.271,
"Feb 04, 2008",3.112,3.112,3.071,3.071,3.184,3.184,3.286,3.286,
"Feb 11, 2008",3.091,3.091,3.051,3.051,3.161,3.161,3.26,3.26,
"Feb 18, 2008",3.209,3.209,3.17,3.17,3.28,3.28,3.377,3.377,
"Feb 25, 2008",3.208,3.208,3.167,3.167,3.28,3.28,3.383,3.383,
"Mar 03, 2008",3.196,3.196,3.155,3.155,3.27,3.27,3.372,3.372,
"Mar 10, 2008",3.312,3.312,3.272,3.272,3.384,3.384,3.484,3.484,
"Mar 17, 2008",3.418,3.418,3.378,3.378,3.492,3.492,3.591,3.591,
"Mar 24, 2008",3.408,3.408,3.366,3.366,3.48,3.48,3.584,3.584,
"Mar 31, 2008",3.485,3.485,3.444,3.444,3.56,3.56,3.662,3.662,
"Apr 07, 2008",3.528,3.528,3.486,3.486,3.604,3.604,3.706,3.706,
"Apr 14, 2008",3.606,3.606,3.566,3.566,3.676,3.676,3.776,3.776,
"Apr 21, 2008",3.732,3.732,3.692,3.692,3.803,3.803,3.907,3.907,
"Apr 28, 2008",3.793,3.793,3.753,3.753,3.862,3.862,3.965,3.965,
"May 05, 2008",3.826,3.826,3.785,3.785,3.896,3.896,4,4,
"May 12, 2008",3.986,3.986,3.944,3.944,4.059,4.059,4.162,4.162,
"May 19, 2008",4.06,4.06,4.019,4.019,4.129,4.129,4.238,4.238,
"May 26, 2008",4.213,4.213,4.172,4.172,4.283,4.283,4.39,4.39,
"Jun 02, 2008",4.217,4.217,4.176,4.176,4.289,4.289,4.396,4.396,
"Jun 09, 2008",4.213,4.213,4.171,4.171,4.284,4.284,4.392,4.392,
"Jun 16, 2008",4.222,4.222,4.181,4.181,4.292,4.292,4.399,4.399,
"Jun 23, 2008",4.256,4.256,4.216,4.216,4.325,4.325,4.429,4.429,
"Jun 30, 2008",4.244,4.244,4.201,4.201,4.318,4.318,4.424,4.424,
"Jul 07, 2008",4.343,4.343,4.303,4.303,4.412,4.412,4.519,4.519,
"Jul 14, 2008",4.341,4.341,4.3,4.3,4.414,4.414,4.517,4.517,
"Jul 21, 2008",4.269,4.269,4.225,4.225,4.347,4.347,4.453,4.453,
"Jul 28, 2008",4.13,4.13,4.084,4.084,4.219,4.219,4.32,4.32,
"Aug 04, 2008",4.064,4.064,4.022,4.022,4.14,4.14,4.244,4.244,
"Aug 11, 2008",4.046,4.046,4.004,4.004,4.12,4.12,4.224,4.224,
"Aug 18, 2008",4.072,4.072,4.031,4.031,4.146,4.146,4.246,4.246,
"Aug 25, 2008",4.061,4.061,4.021,4.021,4.131,4.131,4.233,4.233,
"Sep 01, 2008",3.987,3.987,3.946,3.946,4.061,4.061,4.166,4.166,
"Sep 08, 2008",3.949,3.949,3.908,3.908,4.024,4.024,4.127,4.127,
"Sep 15, 2008",4.337,4.337,4.298,4.298,4.404,4.404,4.505,4.505,
"Sep 22, 2008",4.095,4.095,4.054,4.054,4.17,4.17,4.273,4.273,
"Sep 29, 2008",3.956,3.956,3.914,3.914,4.032,4.032,4.138,4.138,
"Oct 06, 2008",3.794,3.794,3.752,3.752,3.869,3.869,3.973,3.973,
"Oct 13, 2008",3.506,3.506,3.464,3.464,3.582,3.582,3.688,3.688,
"Oct 20, 2008",3.246,3.246,3.201,3.201,3.329,3.329,3.432,3.432,
"Oct 27, 2008",2.95,2.95,2.908,2.908,3.023,3.023,3.127,3.127,
"Nov 03, 2008",2.669,2.669,2.628,2.628,2.739,2.739,2.845,2.845,
"Nov 10, 2008",2.447,2.447,2.406,2.406,2.519,2.519,2.623,2.623,
"Nov 17, 2008",2.237,2.237,2.198,2.198,2.304,2.304,2.406,2.406,
"Nov 24, 2008",1.971,1.971,1.932,1.932,2.039,2.039,2.142,2.142,
"Dec 01, 2008",1.816,1.816,1.777,1.777,1.888,1.888,1.986,1.986,
"Dec 08, 2008",1.692,1.692,1.652,1.652,1.762,1.762,1.864,1.864,
"Dec 15, 2008",1.763,1.763,1.725,1.725,1.829,1.829,1.928,1.928,
"Dec 22, 2008",1.771,1.771,1.732,1.732,1.837,1.837,1.939,1.939,
"Dec 29, 2008",1.726,1.726,1.687,1.687,1.795,1.795,1.895,1.895,
"Jan 05, 2009",1.904,1.904,1.866,1.866,1.97,1.97,2.071,2.071,
"Jan 12, 2009",2.004,2.004,1.966,1.966,2.067,2.067,2.167,2.167,
"Jan 19, 2009",2.051,2.051,2.011,2.011,2.121,2.121,2.222,2.222,
"Jan 26, 2009",1.988,1.988,1.949,1.949,2.054,2.054,2.157,2.157,
"Feb 02, 2009",1.962,1.962,1.922,1.922,2.03,2.03,2.134,2.134,
"Feb 09, 2009",1.957,1.957,1.918,1.918,2.025,2.025,2.127,2.127,
"Feb 16, 2009",2.036,2.036,1.997,1.997,2.102,2.102,2.202,2.202,
"Feb 23, 2009",1.956,1.956,1.916,1.916,2.024,2.024,2.128,2.128,
"Mar 02, 2009",2,2,1.96,1.96,2.068,2.068,2.172,2.172,
"Mar 09, 2009",2.07,2.07,2.032,2.032,2.133,2.133,2.237,2.237,
"Mar 16, 2009",1.98,1.98,1.94,1.94,2.05,2.05,2.152,2.152,
"Mar 23, 2009",2.097,2.097,2.057,2.057,2.165,2.165,2.267,2.267,
"Mar 30, 2009",2.179,2.179,2.14,2.14,2.245,2.245,2.348,2.348,
"Apr 06, 2009",2.14,2.14,2.1,2.1,2.207,2.207,2.31,2.31,
"Apr 13, 2009",2.182,2.182,2.144,2.144,2.247,2.247,2.35,2.35,
"Apr 20, 2009",2.178,2.178,2.14,2.14,2.243,2.243,2.347,2.347,
"Apr 27, 2009",2.228,2.228,2.187,2.187,2.3,2.3,2.4,2.4,
"May 04, 2009",2.295,2.295,2.256,2.256,2.361,2.361,2.464,2.464,
"May 11, 2009",2.556,2.556,2.518,2.518,2.619,2.619,2.725,2.725,
"May 18, 2009",2.609,2.609,2.569,2.569,2.678,2.678,2.781,2.781,
"May 25, 2009",2.684,2.684,2.644,2.644,2.753,2.753,2.855,2.855,
"Jun 01, 2009",2.785,2.785,2.746,2.746,2.85,2.85,2.952,2.952,
"Jun 08, 2009",2.962,2.962,2.922,2.922,3.029,3.029,3.131,3.131,
"Jun 15, 2009",2.907,2.907,2.866,2.866,2.978,2.978,3.084,3.084,
"Jun 22, 2009",2.917,2.917,2.877,2.877,2.986,2.986,3.092,3.092,
"Jun 29, 2009",2.863,2.863,2.822,2.822,2.935,2.935,3.039,3.039,
"Jul 06, 2009",2.807,2.807,2.766,2.766,2.881,2.881,2.986,2.986,
"Jul 13, 2009",2.699,2.699,2.659,2.659,2.767,2.767,2.873,2.873,
"Jul 20, 2009",2.631,2.631,2.589,2.589,2.702,2.702,2.81,2.81,
"Jul 27, 2009",2.658,2.658,2.616,2.616,2.731,2.731,2.837,2.837,
"Aug 03, 2009",2.711,2.711,2.67,2.67,2.779,2.779,2.886,2.886,
"Aug 10, 2009",2.775,2.775,2.735,2.735,2.844,2.844,2.946,2.946,
"Aug 17, 2009",2.734,2.734,2.693,2.693,2.805,2.805,2.911,2.911,
"Aug 24, 2009",2.746,2.746,2.706,2.706,2.815,2.815,2.917,2.917,
"Aug 31, 2009",2.724,2.724,2.683,2.683,2.794,2.794,2.898,2.898,
"Sep 07, 2009",2.67,2.67,2.63,2.63,2.738,2.738,2.842,2.842,
"Sep 14, 2009",2.666,2.666,2.626,2.626,2.734,2.734,2.836,2.836,
"Sep 21, 2009",2.635,2.635,2.595,2.595,2.703,2.703,2.806,2.806,
"Sep 28, 2009",2.564,2.564,2.524,2.524,2.635,2.635,2.737,2.737,
"Oct 05, 2009",2.537,2.537,2.498,2.498,2.605,2.605,2.708,2.708,
"Oct 12, 2009",2.598,2.598,2.558,2.558,2.668,2.668,2.774,2.774,
"Oct 19, 2009",2.7,2.7,2.66,2.66,2.77,2.77,2.876,2.876,
"Oct 26, 2009",2.864,2.864,2.824,2.824,2.934,2.934,3.036,3.036,
"Nov 02, 2009",2.872,2.872,2.832,2.832,2.941,2.941,3.047,3.047,
"Nov 09, 2009",2.834,2.834,2.793,2.793,2.906,2.906,3.01,3.01,
"Nov 16, 2009",2.772,2.772,2.731,2.731,2.844,2.844,2.953,2.953,
"Nov 23, 2009",2.755,2.755,2.716,2.716,2.823,2.823,2.927,2.927,
"Nov 30, 2009",2.749,2.749,2.708,2.708,2.818,2.818,2.924,2.924,
"Dec 07, 2009",2.732,2.732,2.69,2.69,2.803,2.803,2.908,2.908,
"Dec 14, 2009",2.714,2.714,2.672,2.672,2.785,2.785,2.892,2.892,
"Dec 21, 2009",2.733,2.733,2.692,2.692,2.803,2.803,2.907,2.907,
"Dec 28, 2009",2.771,2.771,2.731,2.731,2.84,2.84,2.944,2.944,
"Jan 04, 2010",2.828,2.828,2.788,2.788,2.895,2.895,3,3,
"Jan 11, 2010",2.925,2.925,2.884,2.884,2.994,2.994,3.099,3.099,
"Jan 18, 2010",2.886,2.886,2.846,2.846,2.957,2.957,3.062,3.062,
"Jan 25, 2010",2.84,2.84,2.799,2.799,2.912,2.912,3.017,3.017,
"Feb 01, 2010",2.782,2.782,2.741,2.741,2.855,2.855,2.961,2.961,
"Feb 08, 2010",2.754,2.754,2.713,2.713,2.826,2.826,2.932,2.932,
"Feb 15, 2010",2.7,2.7,2.66,2.66,2.768,2.768,2.876,2.876,
"Feb 22, 2010",2.836,2.836,2.794,2.794,2.908,2.908,3.014,3.014,
"Mar 01, 2010",2.83,2.83,2.79,2.79,2.899,2.899,3.004,3.004,
"Mar 08, 2010",2.862,2.862,2.823,2.823,2.931,2.931,3.033,3.033,
"Mar 15, 2010",2.92,2.92,2.88,2.88,2.987,2.987,3.092,3.092,
"Mar 22, 2010",3.062,3.062,3.022,3.022,3.131,3.131,3.235,3.235,
"Mar 29, 2010",3.02,3.02,2.979,2.979,3.094,3.094,3.199,3.199,
"Apr 05, 2010",3.081,3.081,3.04,3.04,3.151,3.151,3.255,3.255,
"Apr 12, 2010",3.091,3.091,3.05,3.05,3.163,3.163,3.269,3.269,
"Apr 19, 2010",3.125,3.125,3.085,3.085,3.197,3.197,3.301,3.301,
"Apr 26, 2010",3.112,3.112,3.072,3.072,3.182,3.182,3.282,3.282,
"May 03, 2010",3.168,3.168,3.126,3.126,3.242,3.242,3.346,3.346,
"May 10, 2010",3.162,3.162,3.119,3.119,3.239,3.239,3.341,3.341,
"May 17, 2010",3.11,3.11,3.068,3.068,3.186,3.186,3.291,3.291,
"May 24, 2010",3.019,3.019,2.975,2.975,3.098,3.098,3.204,3.204,
"May 31, 2010",2.961,2.961,2.917,2.917,3.041,3.041,3.151,3.151,
"Jun 07, 2010",2.939,2.939,2.896,2.896,3.017,3.017,3.121,3.121,
"Jun 14, 2010",2.905,2.905,2.863,2.863,2.982,2.982,3.088,3.088,
"Jun 21, 2010",2.965,2.965,2.922,2.922,3.043,3.043,3.148,3.148,
"Jun 28, 2010",2.964,2.964,2.921,2.921,3.04,3.04,3.15,3.15,
"Jul 05, 2010",2.904,2.904,2.859,2.859,2.984,2.984,3.096,3.096,
"Jul 12, 2010",2.896,2.896,2.852,2.852,2.974,2.974,3.081,3.081,
"Jul 19, 2010",2.916,2.916,2.874,2.874,2.99,2.99,3.096,3.096,
"Jul 26, 2010",2.976,2.976,2.933,2.933,3.053,3.053,3.157,3.157,
"Aug 02, 2010",2.927,2.927,2.882,2.882,3.006,3.006,3.115,3.115,
"Aug 09, 2010",2.968,2.968,2.925,2.925,3.045,3.045,3.153,3.153,
"Aug 16, 2010",2.922,2.922,2.878,2.878,3.002,3.002,3.108,3.108,
"Aug 23, 2010",2.876,2.876,2.833,2.833,2.955,2.955,3.06,3.06,
"Aug 30, 2010",2.836,2.836,2.793,2.793,2.912,2.912,3.021,3.021,
"Sep 06, 2010",2.903,2.903,2.86,2.86,2.977,2.977,3.083,3.083,
"Sep 13, 2010",3.06,3.06,3.018,3.018,3.132,3.132,3.241,3.241,
"Sep 20, 2010",3.019,3.019,2.977,2.977,3.093,3.093,3.201,3.201,
"Sep 27, 2010",2.948,2.948,2.905,2.905,3.023,3.023,3.13,3.13,
"Oct 04, 2010",2.958,2.958,2.916,2.916,3.03,3.03,3.137,3.137,
"Oct 11, 2010",3.007,3.007,2.965,2.965,3.081,3.081,3.187,3.187,
"Oct 18, 2010",3.032,3.032,2.989,2.989,3.107,3.107,3.214,3.214,
"Oct 25, 2010",2.987,2.987,2.944,2.944,3.065,3.065,3.169,3.169,
"Nov 01, 2010",2.939,2.939,2.895,2.895,3.018,3.018,3.123,3.123,
"Nov 08, 2010",3.11,3.11,3.068,3.068,3.185,3.185,3.289,3.289,
"Nov 15, 2010",3.118,3.118,3.076,3.076,3.192,3.192,3.298,3.298,
"Nov 22, 2010",3.056,3.056,3.014,3.014,3.13,3.13,3.237,3.237,
"Nov 29, 2010",3.023,3.023,2.981,2.981,3.097,3.097,3.203,3.203,
"Dec 06, 2010",3.109,3.109,3.066,3.066,3.184,3.184,3.289,3.289,
"Dec 13, 2010",3.097,3.097,3.054,3.054,3.172,3.172,3.28,3.28,
"Dec 20, 2010",3.149,3.149,3.107,3.107,3.225,3.225,3.33,3.33,
"Dec 27, 2010",3.288,3.288,3.246,3.246,3.36,3.36,3.468,3.468,
"Jan 03, 2011",3.303,3.303,3.261,3.261,3.376,3.376,3.481,3.481,
"Jan 10, 2011",3.316,3.316,3.274,3.274,3.39,3.39,3.495,3.495,
"Jan 17, 2011",3.283,3.283,3.24,3.24,3.361,3.361,3.463,3.463,
"Jan 24, 2011",3.27,3.27,3.227,3.227,3.345,3.345,3.451,3.451,
"Jan 31, 2011",3.286,3.286,3.245,3.245,3.357,3.357,3.463,3.463,
"Feb 07, 2011",3.351,3.351,3.31,3.31,3.425,3.425,3.527,3.527,
"Feb 14, 2011",3.325,3.325,3.284,3.284,3.399,3.399,3.504,3.504,
"Feb 21, 2011",3.368,3.368,3.326,3.326,3.442,3.442,3.551,3.551,
"Feb 28, 2011",3.604,3.604,3.563,3.563,3.674,3.674,3.779,3.779,
"Mar 07, 2011",3.72,3.72,3.678,3.678,3.793,3.793,3.901,3.901,
"Mar 14, 2011",3.708,3.708,3.668,3.668,3.779,3.779,3.885,3.885,
"Mar 21, 2011",3.755,3.755,3.714,3.714,3.826,3.826,3.932,3.932,
"Mar 28, 2011",3.797,3.797,3.756,3.756,3.867,3.867,3.973,3.973,
"Apr 04, 2011",3.974,3.974,3.933,3.933,4.045,4.045,4.152,4.152,
"Apr 11, 2011",4.142,4.142,4.098,4.098,4.217,4.217,4.327,4.327,
"Apr 18, 2011",4.227,4.227,4.185,4.185,4.299,4.299,4.407,4.407,
"Apr 25, 2011",4.295,4.295,4.252,4.252,4.369,4.369,4.477,4.477,
"May 02, 2011",4.394,4.394,4.352,4.352,4.468,4.468,4.578,4.578,
"May 09, 2011",4.44,4.44,4.397,4.397,4.513,4.513,4.63,4.63,
"May 16, 2011",4.386,4.386,4.343,4.343,4.461,4.461,4.571,4.571,
"May 23, 2011",4.236,4.236,4.192,4.192,4.311,4.311,4.426,4.426,
"May 30, 2011",4.185,4.185,4.141,4.141,4.261,4.261,4.371,4.371,
"Jun 06, 2011",4.296,4.296,4.254,4.254,4.366,4.366,4.476,4.476,
"Jun 13, 2011",4.158,4.158,4.114,4.114,4.234,4.234,4.345,4.345,
"Jun 20, 2011",4.035,4.035,3.992,3.992,4.11,4.11,4.218,4.218,
"Jun 27, 2011",3.911,3.911,3.867,3.867,3.988,3.988,4.1,4.1,
"Jul 04, 2011",3.98,3.98,3.938,3.938,4.054,4.054,4.164,4.164,
"Jul 11, 2011",3.981,3.981,3.939,3.939,4.056,4.056,4.165,4.165,
"Jul 18, 2011",4.028,4.028,3.984,3.984,4.105,4.105,4.217,4.217,
"Jul 25, 2011",3.991,3.991,3.948,3.948,4.066,4.066,4.176,4.176,
"Aug 01, 2011",4.013,4.013,3.969,3.969,4.093,4.093,4.203,4.203,
"Aug 08, 2011",3.967,3.967,3.923,3.923,4.043,4.043,4.153,4.153,
"Aug 15, 2011",3.889,3.889,3.845,3.845,3.965,3.965,4.077,4.077,
"Aug 22, 2011",3.855,3.855,3.812,3.812,3.933,3.933,4.044,4.044,
"Aug 29, 2011",3.963,3.963,3.92,3.92,4.038,4.038,4.15,4.15,
"Sep 05, 2011",4.027,4.027,3.982,3.982,4.104,4.104,4.218,4.218,
"Sep 12, 2011",3.963,3.963,3.918,3.918,4.039,4.039,4.153,4.153,
"Sep 19, 2011",3.871,3.871,3.826,3.826,3.948,3.948,4.063,4.063,
"Sep 26, 2011",3.752,3.752,3.708,3.708,3.83,3.83,3.945,3.945,
"Oct 03, 2011",3.615,3.615,3.57,3.57,3.695,3.695,3.809,3.809,
"Oct 10, 2011",3.562,3.562,3.517,3.517,3.64,3.64,3.753,3.753,
"Oct 17, 2011",3.554,3.554,3.509,3.509,3.631,3.631,3.744,3.744,
"Oct 24, 2011",3.512,3.512,3.468,3.468,3.59,3.59,3.702,3.702,
"Oct 31, 2011",3.591,3.591,3.547,3.547,3.667,3.667,3.78,3.78,
"Nov 07, 2011",3.547,3.547,3.504,3.504,3.621,3.621,3.732,3.732,
"Nov 14, 2011",3.639,3.639,3.596,3.596,3.715,3.715,3.822,3.822,
"Nov 21, 2011",3.558,3.558,3.514,3.514,3.636,3.636,3.746,3.746,
"Nov 28, 2011",3.495,3.495,3.45,3.45,3.573,3.573,3.684,3.684,
"Dec 05, 2011",3.445,3.445,3.401,3.401,3.523,3.523,3.634,3.634,
"Dec 12, 2011",3.432,3.432,3.388,3.388,3.509,3.509,3.623,3.623,
"Dec 19, 2011",3.346,3.346,3.302,3.302,3.426,3.426,3.537,3.537,
"Dec 26, 2011",3.431,3.431,3.386,3.386,3.51,3.51,3.624,3.624,
"Jan 02, 2012",3.533,3.533,3.49,3.49,3.609,3.609,3.719,3.719,
"Jan 09, 2012",3.655,3.655,3.611,3.611,3.73,3.73,3.841,3.841,
"Jan 16, 2012",3.706,3.706,3.663,3.663,3.783,3.783,3.892,3.892,
"Jan 23, 2012",3.576,3.576,3.532,3.532,3.654,3.654,3.764,3.764,
"Jan 30, 2012",3.538,3.538,3.494,3.494,3.615,3.615,3.724,3.724,
"Feb 06, 2012",3.612,3.612,3.568,3.568,3.689,3.689,3.802,3.802,
"Feb 13, 2012",3.567,3.567,3.522,3.522,3.645,3.645,3.755,3.755,
"Feb 20, 2012",3.568,3.568,3.524,3.524,3.647,3.647,3.756,3.756,
"Feb 27, 2012",3.83,3.83,3.787,3.787,3.906,3.906,4.016,4.016,
"Mar 05, 2012",4.053,4.053,4.01,4.01,4.127,4.127,4.237,4.237,
"Mar 12, 2012",4.173,4.173,4.13,4.13,4.249,4.249,4.358,4.358,
"Mar 19, 2012",4.326,4.326,4.282,4.282,4.401,4.401,4.511,4.511,
"Mar 26, 2012",4.515,4.515,4.47,4.47,4.594,4.594,4.704,4.704,
"Apr 02, 2012",4.457,4.457,4.415,4.415,4.531,4.531,4.64,4.64,
"Apr 09, 2012",4.329,4.329,4.285,4.285,4.405,4.405,4.515,4.515,
"Apr 16, 2012",4.231,4.231,4.187,4.187,4.308,4.308,4.419,4.419,
"Apr 23, 2012",4.257,4.257,4.212,4.212,4.335,4.335,4.446,4.446,
"Apr 30, 2012",4.189,4.189,4.146,4.146,4.26,4.26,4.372,4.372,
"May 07, 2012",4.222,4.222,4.178,4.178,4.298,4.298,4.409,4.409,
"May 14, 2012",4.108,4.108,4.064,4.064,4.184,4.184,4.296,4.296,
"May 21, 2012",4.039,4.039,3.993,3.993,4.123,4.123,4.238,4.238,
"May 28, 2012",4.02,4.02,3.975,3.975,4.101,4.101,4.215,4.215,
"Jun 04, 2012",3.939,3.939,3.894,3.894,4.017,4.017,4.13,4.13,
"Jun 11, 2012",3.976,3.976,3.93,3.93,4.056,4.056,4.171,4.171,
"Jun 18, 2012",3.871,3.871,3.827,3.827,3.948,3.948,4.06,4.06,
"Jun 25, 2012",3.704,3.704,3.659,3.659,3.783,3.783,3.895,3.895,
"Jul 02, 2012",3.596,3.596,3.551,3.551,3.675,3.675,3.789,3.789,
"Jul 09, 2012",3.771,3.771,3.727,3.727,3.848,3.848,3.96,3.96,
"Jul 16, 2012",3.763,3.763,3.719,3.719,3.819,3.819,3.965,3.965,
"Jul 23, 2012",3.75,3.75,3.705,3.705,3.828,3.828,3.946,3.946,
"Jul 30, 2012",3.866,3.866,3.819,3.819,3.946,3.946,4.07,4.07,
"Aug 06, 2012",4.228,4.228,4.179,4.179,4.315,4.315,4.439,4.439,
"Aug 13, 2012",4.207,4.207,4.159,4.159,4.287,4.287,4.414,4.414,
"Aug 20, 2012",4.22,4.22,4.17,4.17,4.304,4.304,4.433,4.433,
"Aug 27, 2012",4.143,4.143,4.093,4.093,4.228,4.228,4.356,4.356,
"Sep 03, 2012",4.3,4.3,4.251,4.251,4.384,4.384,4.514,4.514,
"Sep 10, 2012",4.236,4.236,4.185,4.185,4.324,4.324,4.459,4.459,
"Sep 17, 2012",4.284,4.284,4.231,4.231,4.375,4.375,4.514,4.514,
